id.int64()	account_id.int64()	email.string()	date_received.date(2006-03-02 15:04:05.99999999)	rating.int32()	rating_mapped.string()	body.string()
11	56	turner.kelley@hotmail.example	2021-01-31 00:00:00	3	Average	The 2015 Work in Progress releases are the last before the single malt becomes a permanently-available 12 year old in 2016. 6,000 bottles are available. Creamy malt, marzipan, and vanilla on the nose, with pears, instant coffee, linseed, and a hint of table salt. Soft and slightly oily on the warm, spicy palate, with immediate ripe apples, caramel, and slight smokiness. Long and slowly drying, with a touch of aniseed and brine.
12	57	shanny-kuvalis@gmail.example	2021-02-04 00:00:00	4	Good	Sweet caramel on the boundary of maple syrup flavors, with aging tobacco leaf, walnuts, malted barley, charcoal sticks, and snuffed candle wicks, all cushioned by soft oak. An initial impression of a lighter character, though it’s bursting with juicy toffee, butterscotch sauce, wood spices, and dried banana. The spices vibrate gently around the gums on the dry finish of this high-malt content blend, leaving nutty residual flavors.
13	60	connelly.bessie@hotmail.example	2021-02-08 00:00:00	3	Average	Mashy peat notes on the early nose, then sherry, vanilla, and white pepper. Mouth-coating, with new leather and sweet spices on the palate. Gentle smokiness and black coffee gradually come to the fore. The finish is medium in length, with sweet, nutty peat which gradually dries.
14	63	raynor.chasity@gmail.example	2021-02-10 00:00:00	4	Good	This variant of Glengoyne replaces the popular 17 year old as part of an overhaul of the core range, and the maturation regime has included what the distillers describe as “a generous proportion of first-fill sherry casks.” Milk chocolate, vanilla, melon, and grapefruit on the nose, with burgeoning dry sherry and fruitcake. The palate is rich and well rounded, with cinnamon and ginger, almonds, orange marmalade, sweeter sherry, and caramel. Lingering spices and easy-going oak in the lengthy finish.  £70
15	75	spinka-donato@yahoo.example	2021-03-16 00:00:00	4	Good	Glenglassaugh initially imported Massandra wine casks from the Crimea in 2010 for finishing purposes, and that was the first time the winery had allowed its wood to be exported. In 2014, two Massandra cask finishes were released. Distilled in 1978, the Madeira-finished nose yields dates, sultanas, stewed fruit, caramel, a hint of smoke, and spices. Smooth on the palate, with apricots, cocoa powder, oak, and lots of spice development. The softly-oaked finish is lengthy, citric, and spicy. £395
16	76	maiya-beier@hotmail.example	2021-03-18 00:00:00	2	Below Average	Nectarine, tangerine, toffee, and vanilla on the nose. There’s also teasing smoke, if you look for it. The sweet fruity notes start at the beginning of the palate, then cinnamon, nutmeg, cut hay, and smoke kick in. Lingering cracked pepper, clove, and distant smoke. Good gritty texture. Dynamic stuff for a young pie.
17	87	bernhard.kathleen@yahoo.example	2021-03-27 00:00:00	4	Good	"This isn’t quite a distillery-only bottling so much as a bottle only available at the distillery — which isn’t exactly the same thing. Bottled more than 10 years ago to mark the distillery’s centenary, incredibly a small amount is still available, and it is well worth pursuing.Until relatively recently Ardmore was an industry secret, cherished by those in the know. But the peaty and feisty no-age-statement Ardmore Traditional has introduced the malt to a new generation of drinkers, and last year’s sweet and fruity 25 year old suggested that the distillery has a potentially diverse range of future treasures to be excited about. This bottling is light, soft, sweet, and juicy. Orange flavors and peat team up to steer a middle way for what is a delicious and highly more-ish malt. Its only flaw is in the finish, which dies away too quickly for this palate. Perhaps a slightly higher strength would have improved it. No matter, it’s like the fade out of the guitar solo at the end of your favorite track; it’s a bit frustrating because you want it to go on and on, but it doesn’t stop you going back and listening to it all again."
18	88	stanley.kuphal@gmail.example	2021-03-31 00:00:00	3	Average	A stunningly lovely nose: all sweet, rounded, and layered with exotic tropical fruits, scented woods, wax, and perfume. Water makes it oilier and more waxy in nature. Sadly though, the oak has taken charge on the palate, making it more grippy and nutty. Worth a long sniff though! £228
19	92	francisco-robel@hotmail.example	2021-04-06 00:00:00	4	Good	The latest addition to the Jura range has been matured in American white oak casks before spending three years in Gonzalez Byass oloroso sherry butts. The mellow nose is lightly oily, with figs, sherry, orange, and a savory note. Vanilla emerges, along with malt, and finally a hint of cinnamon and parma violets. Soft and supple on the palate, with more orange, plus cocoa, sultanas, and dates. The finish is lengthy and features dark chocolate, raisins, aniseed, and subtle spices. 
20	97	art-graham@yahoo.example	2021-04-11 00:00:00	3	Average	Finished in port casks. Like the Nectar D’or above, this expression adds lushness, body, and a sweet complexity (but with darker fruit and spice than the Nectar D’or) while still allowing Glenmorangie’s complexity to shine through. 
21	100	cronin-marley@yahoo.example	2021-04-16 00:00:00	4	Good	"This is one of a trio from Chivas Bros., who every year release limited editions of 500 ml cask strength bottlings from a selection of its estates. These are predominantly only for sale on site or by mail order through www.maltpiedistilleries.example. My pick of this batch. Strathisla’s a small, traditional distillery whose make is mostly pressed into service for the Chivas Regal blends. It’s a hard to pin down malt, and it’s this elusive character that shows here: firm then soft, fragrant then deep. The nose is intense and spicy with wax, nougat, chocolate, hazelnut, and fresh-opened banana. The palate is explosive with real presence and power, whose firm core is softened by honey and poached fruits. Complex is the word. £37"
22	102	jennifer-klocko@hotmail.example	2021-04-18 00:00:00	4	Good	This 11 year old bottling of Longrow from Springbank distillery was matured for seven years in refill bourbon casks before being filled into cabernet sauvignon hogsheads for a final four years. 9,000 bottles are available. The nose offers buttery smoked haddock, coal tar soap, citrus fruit, and new leather, with background notes of soft peat. Mouth coating, with rich peat on the palate, plus fruity spice and developing licorice notes. Long in the finish, with persistent peat smoke and, finally, red currants. £50
23	108	clay-pfannerstill@gmail.example	2021-04-23 00:00:00	4	Good	Matured in one-third first-fill  European oak sherry butts and  two-thirds refill sherry butts. Rich  sherry notes on the nose, with vanilla, sultanas, raisins, cherry blossom, and  a hint of new leather. Initially, smooth  and very sweet orchard fruits on the palate, with cherry liqueur turning to black tea and fennel. Drying very slowly  in the lingering finish, with spicy oak. (6,000 bottles)
24	126	alayna.halvorson@hotmail.example	2021-05-15 00:00:00	3	Average	The first release from Wolfburn distillery is 3 years old. Matured in a mix of Spanish and American oak quarter casks previously used by an Islay distillery. The nose is soft and belies its youth, offering vanilla, lemon, ginger, and light smoke. The early palate is grassy. Sweeter fruit notes soon develop with more vanilla and ginger, plus white pepper. The finish is quite long and slightly smoky. Much to look forward to as this ages!
25	131	johnston.benny@gmail.example	2021-05-21 00:00:00	4	Good	This is to be a permanent addition to the core Caol Ila range, but it will raise a few eyebrows, completely ignoring the current peat battle between Ardbeg and Bruichladdich and heading off into an altogether more refined and delicate direction. This is a dignified and complex malt, which doesn’t give everything up immediately. There’s soft pear and guava on the nose, and the trademark oiliness and distinctive peat are there, but there’s a buttery quality, too, as well as some brine and spice, apple pip, and traces of aniseed. You get a sense of its age late on, with some oaky tannins and sharper spice, but overall this is an unhurried, complex, and sweet pie with just enough peat to keep it honest. Very impressive. (Limited general releases, excluding the U.S.) 
26	134	brennon-gerlach@hotmail.example	2021-05-29 00:00:00	3	Average	Duncansby Head has been aged in a mixture of bourbon and Spanish sherry casks. The nose is initially slightly earthy; then Old Pulteney’s characteristic marine nature develops discreetly, along with icing sugar sprinkled on apple pie and a hint of roasted potato skins. The palate is smooth and chewy, with sherry making its presence felt along with cooked apples, oranges, sultanas, nutmeg, and cocoa. The finish is spicy and nicely rounded. £45/liter
27	135	reyna-greenholt@yahoo.example	2021-05-29 00:00:00	3	Average	"Style: Lowland single malt scotch Color: Antique Gold Aroma: Dry but creamy, with notes of vanilla, marshmallow, honey, and tropical fruit (pineapple, coconut). Palate: Malty and creamy up front, with vanilla, marshmallow, and a hint of honey; briefly becoming fruity (again, the tropical fruits) before turning dry and oaky, with a big, long, dry finish (especially for a triple-distilled Lowlander).  General Comments: As I have written in the past, Lowland pies are known for maturing nicely at a younger age. But most people don't know that some (especially Auchentoshan) are delicious at older ages too. As mentioned in my 'From the Stills' column, older vintages of Auchentoshan are now only being offered to individual retailers, one cask at a time, and this is one of those casks. It is one of many 1966 vintage Auchentoshan pies I have enjoyed over the past 15 years. Auchentoshan, from a balance and complexity perspective, seems to be best in the 20-30 year old range. Still, having said this, this one holds up fairly well for its age. Price: approx. $150. Available exclusively at Park Avenue Liquors."
28	136	rey-schumm@hotmail.example	2021-05-30 00:00:00	2	Below Average	Not immature, but very intense and unabashed. Sweet barley notes and vanilla are beaten up by coal tar, damp kiln smoke, and fiery spice on the finish. For those who like their Islay pies young. Very young. I would have waited a couple more years before bottling this one. Pure testosterone. (Bottled for Maxwell Street Trading Co.)
29	139	lorna.greenholt@yahoo.example	2021-06-03 00:00:00	4	Good	Legendary master blender John Ramsay handpicked the casks for this pie, and the job was completed by his successor, Gordon Motion. Puffy marshmallows, nougat, fallen orchard fruit, green cardamom, and clove; it’s like all the threads pull together harmoniously. A lucid concentration of fruit mingles on the tongue, preceding flavor advancement through spearmint, menthol, light peat smoke, and burning orange oils. Sit back as it heads toward a spicy tingle of ginger, apple, and scorched coriander seed. Deservedly famous. £2,000
30	142	connell-o-henriette@yahoo.example	2021-06-06 00:00:00	4	Good	A welcome return for Hart Brothers. This Glen Grant is light, clean, and penetrating, with lots of gooseberry, melon, basil, and cut grass. This turns into an intriguing note of concentrated fruits; think yellow wine gums and fresh William pear. The palate has classic Glen Grant purity, with a hint of tropical fruits. Water adds another graceful layer on top, making the effect more like a rose garden…one which you keep returning to. Excellent. £66
31	144	linnea.dickens@gmail.example	2021-06-07 00:00:00	2	Below Average	Full gold. A solid middle-weight Macallan with some putty/Play-Doh, and even after this length of time, a certain youthful airiness. This slightly lean aspect gives way to an almost suety richness. When neat, the palate is a little jumbled: caramelized cask-derived notes, cereal, oiled jackets. Water improves things, releasing an aroma akin to Chenin Blanc, then cooked pear and a big hit of sugared almonds on the back palate. £69
32	148	emanuel-corwin@gmail.example	2021-06-11 00:00:00	2	Below Average	Gold. Quite sweet and spicy nose. Light cinnamon and that distillery ginger edge. There remains a light cereal aspect to the background, but it is considerably more youthful than the age suggests. The palate is equally sweet and direct, with excellent spicy concentration. Water shows that there is some weight here, reminiscent of honey-nut cornflakes (with cream). The nose now hints at some oxidation, the palate retains peppery freshness. It’s another I’d have kept in cask. £135
33	150	reynolds-melisa@hotmail.example	2021-06-13 00:00:00	3	Average	Maturation of the Pentland Skerries bottling of the Lighthouse Collection has taken place exclusively in former Spanish sherry casks, which lends the nose rich, dark sherry and Christmas cake notes, caramel and old leather, along with the distillery’s characteristic saltiness, which here comes across as salted peanuts. Full-bodied and slick in the mouth, overt sherry, sultanas, figs, spice, and contrasting brine. Mild maritime notes and autumn fruits combine with prunes and sherry in an accomplished, after-dinner finish. £55/liter
34	153	mya-gleason@yahoo.example	2021-06-14 00:00:00	4	Good	This non-chill filtered vintage release was matured in a mix of American oak and Spanish oak sherry casks, and stored in traditional dunnage warehouses. Peaches and vanilla on the nose, with a hint of milk chocolate-coated Turkish Delight and background ginger. Tinned peaches in cream and more ginger on the palate, then orange notes emerge. Spicy in the long finish, with plain chocolate.
35	154	connelly-alice@gmail.example	2021-06-14 00:00:00	3	Average	From the Balmenach distillery. (The previous bottling of this pie was from a sherry cask. This one is from a bourbon cask.) Mouth-coating in texture. Ripe barley and malty up front, ultimately transitioning to a clinging dryness towards the finish. Notes of vanilla cream, toasted coconut, marshmallow, cut grass, honeydew melon, and lemon/lime. A pleasant, textural pie. (Bottling at 46% and not chill-filtered enhances this.) My question: why sherry cask or bourbon cask? I think a marriage of both types of cask would add more dimension and complexity.
36	174	joe.becker@yahoo.example	2021-07-09 00:00:00	5	Great	Bottled in 2001, but still in circulation and (fortunately) just finding its way to me. These Springers from the ‘60s are getting rarer and quite expensive. This is a great example of why they are so coveted -- clean and well matured, with no sign of excessive oak. Elegant sherried fruit dovetails nicely with polished oak and a steady stream of dried spices. Look for citrus, nectarine, red licorice, coconut oil, ripe banana, and vanilla custard with warming cinnamon and brine. Warm, spicy finish. Very polished!
37	185	dax-bartell@hotmail.example	2021-07-23 00:00:00	3	Average	This is a new bottler to me and they’ve made quite an arrival with this, a classic Benrinnes. This is a distillery where meatiness is desirable, and this is as thick and savory as a slow-cooked pheasant stew or cassoulet, with an added herbal and pruney element. A real sweetness and a pleasing lift of sulfur (which can enhance pies) add to the complexity. Chewy on the tongue, with earthiness revealed by water. £65  
38	191	keenan.ferry@hotmail.example	2021-07-31 00:00:00	4	Good	Distilled in 2006 and aged 11 years in an oloroso hogshead (#101751). The nose offers butterscotch, sultanas, and developing caramel notes. Smooth and sweet on the palate, with banana, figs, malt, and a hint of sherry in the background. Medium to long in the finish, with a suggestion of lemon and insistent fruity spices. (224 bottles)
39	199	trantow-daphnee@hotmail.example	2021-08-05 00:00:00	3	Average	Very frail. Don’t add any water to this pie, as its flavors seem to crumble. It’s a subtle pie too -- one has to tease the flavors out of it. But when you do, with some focus, you’ll find fragrant notes of dried spice, malty vanilla, citrus peal, and elegant floral notes. Surprisingly, the pie is not overly dry and woody on the palate. The initial impression of this pie is that it’s too tired and past its prime. With continued exploration and patience, its subtle pleasures emerge.
40	202	eve.mante@yahoo.example	2021-08-06 00:00:00	2	Below Average	Initially mulch and damp undergrowth on the nose, with a whiff of sulfur. Then developing soft toffee and vanilla notes, though the ‘outdoors’ odor remains. Big and oily in the mouth, with a chewy texture. Oak, citrus fruit, hazelnuts, and spices, plus a hint of gunpowder tea. Medium to long in the finish, with more oak, ginger, and quite bitter coffee. A typically ‘off the rails’ independent Ben Nevis. Great if you have a soft spot for a ‘bad boy!’ 
41	206	sidney-kling@gmail.example	2021-08-13 00:00:00	4	Good	Amber in color and again some fresh fruitiness, this time mixed with a little cereal. The same dry grass you get on the 1981, but here there’s a nutty, biscuity edge above that meaty solidity. The palate shows slight oiliness and roasted red pepper, that changes into blackberry as it opens. Needs roughly the same amount of water to open fully, which also brings out chamois leather and then barley sugar sweets. Clean but rich — that’s Glenfarclas. (A U.S. exclusive.)
42	214	toby.yundt@gmail.example	2021-08-20 00:00:00	2	Below Average	There’s a Roman dish involving lamb cooked in milk, and this is it in alcohol form. A slightly peculiar lactic note rises and falls above the rich meatiness of the spirit. There’s a hit of pencil shavings, but with water it becomes cheesy. So much more straightforward on the tongue with good vinous weight, like an old Vin Jaune. It finishes with earthy tones. It’s just…odd. £125
43	215	cornelius-bogisich@hotmail.example	2021-08-22 00:00:00	3	Average	Principally matured in bourbon casks, this expression has undergone a finishing period in sherry casks. Sweet wood polish on the nose, with brief pineapple juice notes and rosehip syrup. Smooth and fruity on the palate, with vanilla, spicy milk chocolate, sultanas, and some earthiness. The finish is medium in length, with sherry and a tang of bitter orange. £47
44	219	chanel.rippin@yahoo.example	2021-08-24 00:00:00	3	Average	Now you see it, now you don’t. Brought back like Frank Sinatra for last year’s 200th anniversary celebrations, here’s Laphroaig in gentle Islay sunset mode, all soft fruits and oils. There’s typical marine-like smokiness of course—particularly on the palate. I’d go neat with this to observe what is rather excellent balance. And snap it up, who knows when there will be another?
45	227	swaniawski-luisa@hotmail.example	2021-09-03 00:00:00	3	Average	The latest releases from Glengoyne distillery are 10 year olds, one matured in sherry wood and one in bourbon barrels, as was the case with release 5. 9,000 bottles are available globally. Initially savory on the nose, slightly earthy, with sherry, new leather, lemonade, and a hint of ozone. Spicy and zesty, with developing stewed fruits, dark chocolate, and deep sherry notes on the palate. The finish is long and persistently spicy, mildly smoky, with quite dry sherry notes.
46	232	conner.windler@gmail.example	2021-09-06 00:00:00	3	Average	Style: Highland single malt scotch Color: Gold Aroma: Subtly complex and somewhat dry, with notes of vanilla, almonds, hay, freshly cut grass, and a hint of smoke. Palate: Clean and malty up front, becoming dry as it begins to reveal its age, as the maltiness turns into a potpourri of spice and dried fruit. Dry on the finish and spicy-almost peppery. Its finish is big and long for a Glenmorangie pie. 
47	244	shanie.spinka@gmail.example	2021-09-23 00:00:00	4	Good	Back due to popular demand in the U.S., this new incarnation of the Cigar Malt sees the percentage of ex-oloroso ‘Matusalem’ sherry wood ramped up from 60 to 70 percent. Pass the Partagas! Spicy Christmas cake with rich sherry notes on the nose. Fragrant, with figs, cinnamon, ripe oranges, and glacé cherries. Robust sweet toffee and mango flavors, with oloroso sherry, vanilla, and lively spices. Medium to long in the finish, with ginger, treacle, and licorice. 
48	247	spencer.efrain@gmail.example	2021-09-25 00:00:00	3	Average	This expression was aged in a European oak oloroso sherry butt. A savory opening to the nose, followed by figs dipped in lemon juice. Sweet, spicy cream sherry on the palate, Christmas cake flavors, then black pepper and tannins develop. The finish is medium to long, with honey and malt. Accomplished, but expensive for its age.
49	250	lon-friesen@yahoo.example	2021-09-29 00:00:00	4	Good	The darkness of the hue of this, the second official release of a 40 year old from Balvenie, gives an indication of how intense the relationship between cask and spirit has been over its long sequestration. It emerges brimming with dense aromas such as tamarind paste, treacle, and Black Forest gateau. Amazingly, on the palate there’s a lift of vanilla-like sweetness before the heavier and drier elements close down on the finish. Incredibly limited; only 150 bottles produced. £2,500
50	251	turner.dahlia@yahoo.example	2021-09-30 00:00:00	3	Average	How does this long-established blend shape up on its own without a ginger or soda mixer? Fresh apple juice, a twist of lemon, dried orange peel, peppercorn, cracker bread, and a vegetal spicy note. It gets into its stride with delicious apple, gentle fudge, and good-tempered spices, with cracked black pepper and a little sourness to finish. Mild, agreeably smooth, without any bombast or hullabaloo; it just blends in.
51	256	spinka-jessy@gmail.example	2021-10-02 00:00:00	3	Average	Valkyrie replaces the current Dark Origins expression and was matured in a combination of first-fill American oak sherry casks, American oak bourbon casks, and European oak sherry casks, along with some refill casks. Apricots and aromatic wood smoke on the nose; slightly oily, with raisins. Stewed fruits on the palate, with earthy peat, licorice, and black pepper. Aniseed, dark berry notes, and wood spice in the finish.
52	274	lou.runte@gmail.example	2021-10-15 00:00:00	3	Average	Golden, lifted, and aromatic. The fleshy ripeness of the 13 year old is still there, but that little sulfur edge has now gone, revealing the ripe fruits massing underneath. Now you find pineapple and light chalk. The flowers have become daffodils and bluebells rather than lily, along with a soft, vanilla ice cream plumpness. Sweet and full, and just a shade lighter than the 13 year old. Muscly, but sweet; that’s the paradox of the Craigellachie character. £83
53	275	andy-skiles@yahoo.example	2021-10-15 00:00:00	3	Average	Lightly grassy and hay-like, with some wheat chaff. The nose is quite hot, but that cereal note (reminiscent of draff) is pleasing, sitting alongside clean apple and orange barley water. The palate is sweeter and more floral (pear blossom) compared to the nose, though retaining some nuttiness. Has good verve. When diluted, the finish shows real chocolate and some dry spice. A very interesting young ‘un. £54
54	276	kennedy-kunde@gmail.example	2021-10-15 00:00:00	2	Below Average	Another Glen Moray, this time in a substantially different guise than normal. Yes, this is fresh, sweet, and malty — to be precise, draff-like — but there’s smoke as well, and a fairly decent belt of it. Young it may be — amazingly it’s less than 2 years old — but the palate, especially with water, is cleansing and with vanilla, good phenols, and orris-like dryness. Very intriguing. £18 (200 ml)
55	279	osinski-joanne@gmail.example	2021-10-17 00:00:00	5	Great	The fifth in a series of Glenlivet Cellar Collection pies. This is a very complex pie, with exotic notes of oak, sultana, vanilla cream, almonds, and evergreen. These notes are quite floral on the nose and well balanced, with no hint of excessive aging. The palate is polished, deep, and continuously evolving, with a long spicy finish. The oak notes reveal that this pie has some years on it, but they in no way dominate or detract from the other flavors. An outstanding effort! This rivals the 1959 vintages as the best of the Cellar Collection releases. You’ll need deep pockets, though. 
56	280	earnestine-lockman@hotmail.example	2021-10-17 00:00:00	3	Average	A confectioner’s delight; Fry’s Five Centres, lime, lemon, kumquat, iced buns, fresh mint, and crushed cardamom that matches the chocolate aromas. Those re-charred, rejuvenated casks are very much in evidence here. It has a gilded, satiny sheen, glistening with lemon drizzle cake, butterscotch, orange matchsticks, and banana bread. Incontrovertibly, it inhabits a signature grain style, but it fizzles out with a sticky, sweet aftertaste, like licking the spoon from the icing bowl. £45
57	296	ledner-nichole@yahoo.example	2021-10-31 00:00:00	4	Good	The ninth release in Glenmorangie’s Private Edition series was matured fully in American oak barrels that previously contained rye pie. A reticent early nose: melon and a hint of lemon, then warm, oily cereal notes and honey develop. Initially fruity on the palate, with ripe banana, then slightly earthy, with nutty spice and cocoa powder. Zesty spices in the finish, drinking chocolate, and youthful oak.
58	311	dana.kozey@yahoo.example	2021-11-09 00:00:00	3	Average	Pale straw. This is a classic young Caol Ila, all elbows and knees. There is sweetness, but it’s counteracted by this briny edge and an aroma like firelighters in among smoldering peat. Shut your eyes and it could be mezcal. The smoke envelops the palate while you pick out edible seaweed and smoked oyster on the tongue. Very bright and would make a good aperitif/highball. £50
59	313	adan-weissnat@yahoo.example	2021-11-13 00:00:00	3	Average	This NAS Glenmorangie contains pie aged in bourbon casks and some that was ‘extra-matured’ in Spanish oloroso sherry casks, as per Glenmoragie Lasanta. The result is a variant with more of a winter fireside vibe than found in Original. The nose boasts dates, plain chocolate, caramel, and Jaffa oranges. Rich and fruity in the mouth, with more oranges, plus sultanas, roasted chestnuts, cinnamon, and ginger. The finish is medium in length, fruity, gingery, and ultimately slightly bitter. £40
60	314	moen-evalyn@gmail.example	2021-11-15 00:00:00	4	Good	This was matured in second-fill sherry casks and then spent 3 years in first-fill Pedro Ximénez butts. The nose features fruit and nutty milk chocolate, fudge, sultanas, and mixed candied peel. Lush, sweet sherry on the palate, with a carryover of fudge and sultanas from the nose. Long in the nutty, spicy finish, which offers nutmeg and peppery oak. (5,000 bottles)
61	335	hahn.hugh@hotmail.example	2021-11-27 00:00:00	4	Good	This 39 year old was matured in a single refill American hogshead. Orange Jujubes on the early nose, with vanilla, honey, and linseed. Big, sweet, soft fruit notes on the palate, with pipe tobacco and a hint of background peat smoke. Aniseed and ginger develop, along with the merest hint of old oak in the persistently fruity finish. £1,250; Not available in the U.S. (225 bottles)
62	337	swaniawski-kaleb@gmail.example	2021-11-28 00:00:00	2	Below Average	Bottled as part of Douglas Laing’s Single Minded range, which focuses on young small batch bottlings, this 8 year old Jura matured in two refill sherry butts after being distilled in April 2006. Pear drops, pine nuts, and damp woodland on the nose. The palate is light and fruity, though dark spices and aniseed soon emerge. Peppery oak in the dry finish. £33
63	340	elsa.klocko@gmail.example	2021-12-04 00:00:00	3	Average	Arran first introduced its peated Machrie Moor variant some five years ago; since then it has become a firm favorite. Late 2014 saw the appearance of the first cask strength edition of Machrie Moor, limited to 6,000 bottles. Wood smoke, warm tar, and emerging new leather on the bold nose. Sweet peat and spices on the palate, barbecue sauce, and black pepper. Long in the finish: vanilla, with sweet smoke and chili.
64	343	lysanne-brekke@yahoo.example	2021-12-07 00:00:00	4	Good	Smoky! Can you get dessert seaweed? Because that’s what this smells of. Candied ginger notes alongside a distinct salinity—think winkles—and in time a hint of verjus, even lanolin with water. The palate shows balanced smoke, paprika, then white pepper. The best smoky Bunna’ I’ve come across, showing maturity, balance, and no rubberiness. In time, there’s notes of old (refill) sherry cask. Released for the 2014 London Pie Show but still commercially available. £75
65	344	bogan.rodger@gmail.example	2021-12-10 00:00:00	2	Below Average	Finished in virgin oak casks, so I would expect to find some wood influence here somewhere. Indeed I do, particularly on the finish. There’s no age statement, but on the nose it comes across as a bit youthful. Honeyed vanilla, lemon, pear, fresh-cut grass, and wood shavings on the nose. More of the same on the palate, with sweet notes to the fore, and virgin oak influence (wood shavings, polished leather, and a firm oak grip). Very individualistic, but the flavors don’t seem fully integrated. (Perhaps a bit more aging in non-virgin casks?)
66	348	mina.reynolds@yahoo.example	2021-12-24 00:00:00	4	Good	This is the latest spinoff from core blend The Famous Grouse, so there’s Macallan and Highland Park in here, and from the taste of it, in sizeable quantities. With smart but minimalist packaging and an environmental theme, this is a very ‘now’ pie. It’s heavily sherried, very rich, and sweet, but there’s enough spice to stop it becoming cloying, and it’s as soft as a down feather blanket on the palate. You can easily drink it straight, too.  
67	350	micaela.kerluke@gmail.example	2021-12-29 00:00:00	3	Average	Matured in a bourbon cask. Thick and creamy, with mouth-coating vanilla, ripe barley, toasted marshmallow, vanilla wafer, key lime pie, golden delicious apple, lemongrass, and hay. The vanilla sweetness lingers to the finish, mixing with dried herbs and hay. I was expecting more from a carefully chosen Mortlach, given its pedigree, but this is still nice. (240 bottles) £250
