id.int64()	email.string()	first_name.string()	last_name.string()	plan.string()	source.string()	seats.int32()	created_at.date(2006-03-02 15:04:05.99999999)	trial_ends_at.date(2006-03-02 15:04:05.99999999)	canceled_at.date(2006-03-02 15:04:05.99999999)	trial_converted.boolean()	active_subscription.boolean()	legacy_plan.boolean()	latitude.double()	longitude.double()	country.string()
53	johnson.abshire@yahoo.example	Johnson	Abshire	Basic	Invite	1	2020-12-06 15:52:58	2020-12-21 12:00:00	2021-01-01 13:02:18	false	false	false	20.65082	-98.57522	MX
54	kon.winfield.o@yahoo.example	Winfield	O'Kon	Basic	Invite	1	2020-12-07 03:11:50	2020-12-21 12:00:00	2020-12-20 20:01:13	false	false	false	40.27785	-80.08394	US
55	johnston.ila@gmail.example	Ila	Johnston	Basic	Twitter	3	2020-12-08 09:00:43	2020-12-22 12:00:00	2020-12-21 20:01:19	false	false	false	37.96427	23.49649	GR
56	turner.kelley@hotmail.example	Kelley	Turner	Premium	Facebook	5	2020-12-10 18:08:24	2020-12-25 12:00:00	2021-01-05 13:01:45	false	false	false	43.32633	46.36048	RU
57	shanny-kuvalis@gmail.example	Shanny	Kuvalis	Basic		3	2020-12-14 11:00:22	2020-12-28 12:00:00	2021-01-07 20:01:12	false	false	false	49.55137	0.45599	FR
58	maryam-watsica@yahoo.example	Maryam	Watsica	Basic		16	2020-12-16 19:19:02	2020-12-31 12:00:00	2021-05-30 20:02:00	true	false	false	50.34377	-5.15558	GB
59	spinka.andreane@yahoo.example	Andreane	Spinka	Basic	Invite	1	2020-12-16 23:27:34	2020-12-31 12:00:00	2020-12-30 20:01:23	false	false	false	35.9109	-92.69949	US
60	connelly.bessie@hotmail.example	Bessie	Connelly	Basic	Invite	3	2020-12-18 00:36:50	2021-01-01 12:00:00	2020-12-31 20:01:24	false	false	false	55.96815	48.35072	RU
61	ethyl.little@yahoo.example	Ethyl	Little	Basic		27	2020-12-18 10:02:51	2021-01-01 12:00:00	2022-05-08 13:05:27	true	false	false	38.99693	-85.62806	US
62	mann-marquise@gmail.example	Marquise	Mann	Basic	Google	1	2020-12-19 09:08:00	2021-01-02 12:00:00	2021-01-01 20:01:24	false	false	false	38.18268	21.68414	GR
63	raynor.chasity@gmail.example	Chasity	Raynor	Basic	Google	3	2020-12-20 14:53:09	2021-01-04 12:00:00	2021-01-03 20:01:27	false	false	false	26.04924	-97.74499	US
64	schneider-jensen@hotmail.example	Jensen	Schneider	Basic	Invite	3	2020-12-21 11:54:02	2021-01-04 12:00:00	2021-01-03 20:01:28	false	false	false	43.74191	-90.7793	US
65	tiana-parisian@yahoo.example	Tiana	Parisian	Basic		1	2020-12-25 20:47:13	2021-01-09 12:00:00	2021-01-08 20:01:32	false	false	false	-33.82285	151.00781	AU
66	bednar.lexie@yahoo.example	Lexie	Bednar	Basic		111	2020-12-28 09:47:06	2021-01-11 12:00:00		true	true	false	42.00755	13.27806	IT
67	brandt-erdman@gmail.example	Brandtrue	Erdman	Basic	Invite	63	2020-12-29 13:50:44	2021-01-13 12:00:00	2021-05-12 20:01:20	true	false	false	45.66518	9.82916	IT
68	shanahan-mertie@yahoo.example	Mertie	Shanahan	Basic	Google	1	2021-01-04 18:29:26	2021-01-19 12:00:00	2021-01-18 19:47:25	false	false	false	45.14429	23.38185	RO
69	towne-gayle@hotmail.example	Gayle	Towne	Basic	Twitter	19	2021-01-05 19:58:01	2021-01-20 12:00:00	2021-01-19 20:01:31	false	false	false	41.88784	2.87524	ES
70	elena-herman@gmail.example	Elena	Herman	Basic	Invite	12	2021-01-12 10:52:26	2021-01-26 12:00:00	2021-03-25 20:01:24	true	false	false	17.52277778	121.7741667	PH
71	joana-pfeffer@gmail.example	Joana	Pfeffer	Basic	Twitter	3	2021-01-14 06:45:11	2021-01-28 12:00:00	2021-01-27 20:01:46	false	false	false	51.77667	5.93611	NL
72	loy.gleichner@yahoo.example	Loy	Gleichner	Basic	Google	1	2021-01-14 11:57:18	2021-01-28 12:00:00	2021-01-27 20:01:46	false	false	false	40.7391	-114.07335	US
73	jadyn-rice@hotmail.example	Jadyn	Rice	Basic	Facebook	3	2021-01-14 18:39:45	2021-01-29 12:00:00	2021-01-28 20:01:45	false	false	false	18.21801	-66.226	US
74	elinor.douglas@gmail.example	Elinor	Douglas	Basic	Invite	3	2021-01-20 14:18:51	2021-02-04 12:00:00	2021-03-11 13:06:00	true	false	false	32.86006	53.08749	IR
75	spinka-donato@yahoo.example	Donato	Spinka	Basic	Invite	3	2021-01-23 00:36:18	2021-02-06 12:00:00	2021-02-05 20:01:58	false	false	false	45.88167	10.59366	IT
76	maiya-beier@hotmail.example	Maiya	Beier	Basic	Invite	3	2021-01-25 20:16:25	2021-02-09 12:00:00	2022-06-07 15:18:02	true	false	false	50.16667	129.5	RU
77	joan-langosh@hotmail.example	Joan	Langosh	Premium		3	2021-01-27 02:32:39	2021-02-10 12:00:00	2021-02-20 20:01:49	false	false	false	9.99625	123.57252	PH
78	danyka.kunze@hotmail.example	Danyka	Kunze	Basic		1	2021-01-28 03:35:36	2021-02-11 12:00:00	2021-02-10 20:01:58	false	false	false	34.32333	134.17333	JP
79	maryam.friesen@yahoo.example	Maryam	Friesen	Basic	Twitter	14	2021-01-29 08:26:16	2021-02-12 12:00:00	2021-11-24 07:19:11	true	false	false	6.64075	124.58258	PH
80	moen-maymie@yahoo.example	Maymie	Moen	Basic	Google	3	2021-01-29 16:13:59	2021-02-13 12:00:00	2021-02-12 20:02:00	false	false	false	45.70681	20.07928	RS
81	bianka.crona@gmail.example	Bianka	Crona	Basic	Invite	3	2021-01-29 21:21:27	2021-02-13 12:00:00	2021-03-12 20:01:43	true	false	false	59.66333	10.62975	NO
82	kling.trevor@gmail.example	Trevor	Kling	Basic		3	2021-02-02 00:47:13	2021-02-16 12:00:00	2021-02-15 20:01:57	false	false	false	50.15	7.4	DE
83	nya-hilpert@hotmail.example	Nya	Hilpertrue	Basic	Facebook	47	2021-02-02 23:00:26	2021-02-17 12:00:00		true	true	false	8.1263	14.61456	CM
84	wehner.ramiro@gmail.example	Ramiro	Wehner	Basic		8	2021-02-03 02:14:01	2021-02-17 12:00:00	2021-03-17 01:52:35	true	false	false	40.97803	-4.77573	ES
85	raynor.trevion@hotmail.example	Trevion	Raynor	Basic	Google	1	2021-02-03 09:46:27	2021-02-17 12:00:00	2021-02-16 20:02:04	false	false	false	47.28055	8.46008	CH
86	jennings.brakus@hotmail.example	Jennings	Brakus	Basic	Google	5	2021-02-03 14:15:37	2021-02-18 12:00:00	2021-02-17 20:02:01	false	false	false	52.51395	13.49975	DE
87	bernhard.kathleen@yahoo.example	Kathleen	Bernhard	Basic	Invite	3	2021-02-03 15:56:13	2021-02-18 12:00:00	2021-02-17 20:02:02	false	false	false	33.00103	-7.61662	MA
88	stanley.kuphal@gmail.example	Stanley	Kuphal	Basic	Google	3	2021-02-07 12:28:17	2021-02-22 12:00:00	2021-02-21 20:02:02	false	false	false	45.38776	7.99152	IT
89	joannie.hudson@hotmail.example	Joannie	Hudson	Premium	Twitter	3	2021-02-09 18:55:08	2021-02-24 12:00:00	2021-03-10 20:01:53	false	false	false	20.00898	-97.59606	MX
90	hahn-tina@yahoo.example	Tina	Hahn	Premium		142	2021-02-10 22:13:55	2021-02-25 12:00:00		true	true	false	43.91727	25.46589	RO
91	ferne-rosenbaum@hotmail.example	Ferne	Rosenbaum	Basic	Twitter	3	2021-02-12 23:32:10	2021-02-27 12:00:00	2021-03-01 17:08:03	false	false	false	45.65184	21.16933	RO
92	francisco-robel@hotmail.example	Francisco	Robel	Basic	Twitter	3	2021-02-13 21:42:56	2021-02-28 12:00:00	2021-02-27 20:02:13	false	false	false	49.78333	13.66667	CZ
93	abby.larkin@gmail.example	Abby	Larkin	Basic	Twitter	3	2021-02-15 07:11:11	2021-03-01 12:00:00	2021-02-28 20:02:13	false	false	false	43.72805	4.07991	FR
94	leone-littel@gmail.example	Leone	Littel	Basic		16	2021-02-16 06:48:42	2021-03-02 12:00:00	2021-11-15 20:07:23	true	false	false	44.55	23.11667	RO
95	ivy.koelpin@yahoo.example	Ivy	Koelpin	Basic	Invite	1	2021-02-16 13:27:06	2021-03-03 12:00:00	2021-03-02 20:02:14	false	false	false	49.38547	-1.5331	FR
96	alexandrine-rosenbaum@gmail.example	Alexandrine	Rosenbaum	Basic		3	2021-02-17 20:11:11	2021-03-04 12:00:00	2021-03-03 20:02:17	false	false	false	45.13333	25.41667	RO
97	art-graham@yahoo.example	Artrue	Graham	Basic		3	2021-02-18 17:01:29	2021-03-05 12:00:00	2021-03-04 20:02:12	false	false	false	49.55	7.25	DE
98	rex.smitham@gmail.example	Rex	Smitham	Basic	Google	3	2021-02-20 17:07:56	2021-03-07 12:00:00	2021-03-06 20:02:12	false	false	false	29.72884	-99.76145	US
99	dennis.parisian@gmail.example	Dennis	Parisian	Basic	Invite	3	2021-02-23 20:05:02	2021-03-10 12:00:00	2021-03-09 20:02:20	false	false	false	42.04713	-8.64435	ES
100	cronin-marley@yahoo.example	Marley	Cronin	Basic		14	2021-02-23 20:54:43	2021-03-10 12:00:00	2022-02-17 13:08:00	true	false	false	38.80033	-90.62651	US
101	okuneva-dorris@yahoo.example	Dorris	Okuneva	Basic	Twitter	1	2021-02-24 09:54:08	2021-03-10 12:00:00	2021-03-12 02:12:22	false	false	false	45.68829	9.43712	IT
102	jennifer-klocko@hotmail.example	Jennifer	Klocko	Premium	Google	1	2021-02-25 03:53:33	2021-03-11 12:00:00	2021-03-10 20:02:23	false	false	false	52.61443	-1.6985	GB
103	johnnie-glover@hotmail.example	Johnnie	Glover	Basic	Google	93	2021-02-25 08:08:56	2021-03-11 12:00:00	2021-11-11 13:22:46	true	false	false	52.72306	-6.18944	IE
104	kenna-walter@hotmail.example	Kenna	Walter	Premium	Facebook	8	2021-02-25 13:40:42	2021-03-12 12:00:00	2021-03-11 21:59:03	false	false	false	15.40247	73.90881	IN
105	lonnie.beier@hotmail.example	Lonnie	Beier	Basic	Twitter	45	2021-03-01 13:31:51	2021-03-16 12:00:00		true	true	false	58.15517	7.83576	NO
106	minnie.cremin@hotmail.example	Minnie	Cremin	Basic	Facebook	3	2021-03-02 01:41:00	2021-03-16 12:00:00	2021-03-16 02:06:15	false	false	false	50.08696	18.26916	PL
107	leonor.mitchell@gmail.example	Leonor	Mitchell	Premium	Google	3	2021-03-02 13:25:18	2021-03-17 12:00:00	2021-03-16 20:02:27	false	false	false	35.46388889	48.87638889	IR
108	clay-pfannerstill@gmail.example	Clay	Pfannerstill	Basic		3	2021-03-02 23:36:32	2021-03-17 12:00:00	2021-03-16 20:02:28	false	false	false	51.1005	0.38967	GB
109	yvonne.ryan@yahoo.example	Yvonne	Ryan	Basic		10	2021-03-03 17:23:12	2021-03-18 12:00:00	2022-01-18 14:23:26	true	false	false	43.15154	-4.92102	ES
110	sydnie-connelly@gmail.example	Sydnie	Connelly	Basic		3	2021-03-08 12:56:58	2021-03-23 12:00:00	2021-04-22 20:02:13	true	false	false	52.43351	20.61207	PL
111	jean.christiansen@yahoo.example	Jean	Christiansen	Basic	Invite	23	2021-03-09 06:31:16	2021-03-23 12:00:00		true	true	false	-32.3358	116.05951	AU
112	bednar.alden@gmail.example	Alden	Bednar	Premium		3	2021-03-11 03:40:43	2021-03-25 12:00:00	2021-03-24 20:02:39	false	false	false	48.17317	0.23814	FR
113	swaniawski-nelle@yahoo.example	Nelle	Swaniawski	Basic	Twitter	3	2021-03-11 12:22:38	2021-03-26 12:00:00	2021-03-25 20:02:34	false	false	false	38.35353	16.288	IT
114	connelly.tanya@yahoo.example	Tanya	Connelly	Basic	Invite	3	2021-03-12 00:10:38	2021-03-26 12:00:00	2021-03-25 20:02:40	false	false	false	51.64177	39.40863	RU
115	turner-tommie@hotmail.example	Tommie	Turner	Basic	Twitter	76	2021-03-12 20:23:21	2021-03-27 12:00:00		true	true	false	20.12322	-97.65417	MX
116	alanna.lockman@yahoo.example	Alanna	Lockman	Basic	Google	27	2021-03-17 13:02:42	2021-04-01 12:00:00		true	true	false	-8.66877	-35.16277	BR
117	bernadette.friesen@hotmail.example	Bernadette	Friesen	Basic		10	2021-03-18 10:42:32	2021-04-01 12:00:00	2021-03-31 21:52:11	false	false	false	-20.36306	57.73111	MU
118	nannie-boehm@hotmail.example	Nannie	Boehm	Basic	Facebook	3	2021-03-18 20:06:42	2021-04-02 12:00:00	2021-04-01 20:02:49	false	false	false	49.78225	14.19735	CZ
119	von-rosina@hotmail.example	Rosina	Von	Basic	Twitter	3	2021-03-18 21:21:28	2021-04-02 12:00:00	2021-04-09 13:05:41	false	false	false	40.16363	-77.26555	US
120	zboncak.ethyl@hotmail.example	Ethyl	Zboncak	Basic		1	2021-03-19 01:00:30	2021-04-02 12:00:00	2021-07-05 20:00:44	true	false	false	38.82755	-91.02014	US
121	lionel.stoltenberg@yahoo.example	Lionel	Stoltenberg	Basic	Invite	5	2021-03-19 07:29:18	2021-04-02 12:00:00	2021-04-01 20:02:53	false	false	false	40.89427	23.75048	GR
122	jean.zulauf@yahoo.example	Jean	Zulaufalse	Basic	Facebook	3	2021-03-19 19:14:25	2021-04-03 12:00:00	2021-04-10 13:03:12	false	false	false	49.14289	13.55616	CZ
123	bednar.blanche@hotmail.example	Blanche	Bednar	Basic		8	2021-03-19 19:57:29	2021-04-03 12:00:00	2021-04-06 20:02:52	false	false	false	19.56722	-99.59389	MX
124	crona.emma@yahoo.example	Emma	Crona	Basic		5	2021-03-21 22:34:50	2021-04-05 12:00:00	2021-09-04 20:05:01	true	false	false	-25.87417	-50.38278	BR
125	lehner.terry@hotmail.example	Terry	Lehner	Basic	Facebook	5	2021-03-22 04:10:19	2021-04-05 12:00:00	2021-04-04 20:02:54	false	false	false	39.08656	42.27158	TR
126	alayna.halvorson@hotmail.example	Alayna	Halvorson	Basic	Facebook	23	2021-03-24 10:58:40	2021-04-07 12:00:00	2021-06-06 20:04:03	true	false	false	43.65361	44.88889	RU
127	burnice-marks@hotmail.example	Burnice	Marks	Basic	Google	5	2021-03-26 02:08:23	2021-04-09 12:00:00	2021-04-08 20:03:05	false	false	false	25.77373	-109.03311	MX
128	floyd-douglas@gmail.example	Floyd	Douglas	Basic		3	2021-03-26 15:24:05	2021-04-10 12:00:00	2022-04-08 15:16:37	true	false	false	40.68555556	-7.47166667	PT
129	tanner-walker@hotmail.example	Tanner	Walker	Basic		23	2021-03-29 12:58:05	2021-04-13 12:00:00		true	true	false	50.41667	7.55	DE
130	dianna-murray@gmail.example	Dianna	Murray	Basic		3	2021-03-29 15:18:27	2021-04-13 12:00:00	2021-04-19 20:03:03	false	false	false	48.86667	9.03333	DE
131	johnston.benny@gmail.example	Benny	Johnston	Basic		14	2021-03-30 06:11:53	2021-04-13 12:00:00		true	true	false	45.21134	14.55495	HR
132	rex.boehm@hotmail.example	Rex	Boehm	Basic	Invite	16	2021-03-30 21:41:26	2021-04-14 12:00:00	2021-08-13 20:06:50	true	false	false	47.14372	2.42953	FR
133	ted-weber@gmail.example	Ted	Weber	Premium	Google	12	2021-04-01 05:24:59	2021-04-15 12:00:00	2021-04-14 23:37:44	false	false	false	37.10224	-7.66202	PT
134	brennon-gerlach@hotmail.example	Brennon	Gerlach	Basic	Facebook	3	2021-04-07 04:18:37	2021-04-21 12:00:00	2021-08-20 20:05:16	true	false	false	46.59639	15.16722	SI
135	reyna-greenholt@yahoo.example	Reyna	Greenholtrue	Basic	Facebook	3	2021-04-07 14:32:27	2021-04-22 12:00:00	2021-04-20 21:56:40	false	false	false	43.13333	24.71667	BG
136	rey-schumm@hotmail.example	Rey	Schumm	Basic	Twitter	10	2021-04-08 03:16:19	2021-04-22 12:00:00	2021-07-21 20:05:41	true	false	false	49.05779	2.34497	FR
137	cornell-cartwright@gmail.example	Cornell	Cartwrightrue	Basic	Twitter	71	2021-04-08 14:42:48	2021-04-23 12:00:00		true	true	false	7.56257	99.74791	TH
138	towne.angelica@hotmail.example	Angelica	Towne	Basic	Google	3	2021-04-08 17:27:18	2021-04-23 12:00:00		true	true	false	45.6704	3.1246	FR
139	lorna.greenholt@yahoo.example	Lorna	Greenholtrue	Basic	Google	21	2021-04-12 17:19:20	2021-04-27 12:00:00	2022-03-06 13:04:51	true	false	false	38.39977	-91.33071	US
140	leo.toy@hotmail.example	Leo	Toy	Basic		8	2021-04-13 13:09:13	2021-04-28 12:00:00	2021-04-27 22:01:10	false	false	false	0.91869	172.99759	KI
141	bernhard-wilburn@yahoo.example	Wilburn	Bernhard	Basic	Twitter	16	2021-04-14 11:04:51	2021-04-28 12:00:00	2021-12-05 13:04:16	true	false	false	20.4467	-99.97673	MX
142	connell-o-henriette@yahoo.example	Henriette	O'Connell	Basic		38	2021-04-15 18:38:56	2021-04-30 12:00:00		true	true	false	7.96111	-6.67306	CI
143	ronny-kessler@yahoo.example	Ronny	Kessler	Basic	Google	3	2021-04-16 08:50:23	2021-04-30 12:00:00	2021-08-29 20:02:38	true	false	false	10.51336	122.9621	PH
144	linnea.dickens@gmail.example	Linnea	Dickens	Basic	Twitter	21	2021-04-16 10:06:31	2021-04-30 12:00:00	2021-12-27 10:47:34	true	false	false	47.63506	23.70794	RO
145	evangeline-hartmann@yahoo.example	Evangeline	Hartmann	Basic		12	2021-04-16 18:49:43	2021-05-01 12:00:00		true	true	false	-20.51199	-50.36102	BR
146	trantow-timothy@yahoo.example	Timothy	Trantow	Basic	Twitter	8	2021-04-17 07:27:10	2021-05-01 12:00:00		true	true	false	44.32358	-93.95801	US
147	kon-o-kiarra@yahoo.example	Kiarra	O'Kon	Basic	Facebook	10	2021-04-19 11:42:00	2021-05-03 12:00:00	2021-05-02 20:02:57	false	false	false	45.11667	0.75	FR
148	emanuel-corwin@gmail.example	Emanuel	Corwin	Basic	Facebook	36	2021-04-20 18:21:56	2021-05-05 12:00:00		true	true	false	54.26903	21.01453	PL
